City Name,Latitude,Longitude,Min. Temp,Max. Temp,Cloudiness,Wind Speed,Humidity,Time
Jōetsu,37.15,138.24,24.01,25.0,100,9.75,90,1608497821
Rikitea,-23.12,-134.97,76.69,76.69,24,22.26,77,1608497821
Hithadhoo,-0.6,73.08,82.0,82.0,0,7.36,73,1608497821
Albany,42.6,-73.97,30.0,32.0,100,1.01,74,1608497821
Ribeira Grande,38.52,-28.7,64.4,64.4,75,20.8,93,1608497822
Grand-Santi,4.25,-54.38,78.58,78.58,65,4.21,88,1608497822
Bathsheba,13.22,-59.52,78.8,78.8,40,18.34,83,1608497822
Micheweni,-4.97,39.83,80.83,80.83,0,9.24,81,1608497822
Olafsvik,64.89,-23.71,34.05,34.05,100,29.26,87,1608497822
Busselton,-33.65,115.33,50.0,51.01,0,12.88,88,1608497822
Villazón,-22.09,-65.59,67.35,67.35,22,24.54,42,1608497822
Jizan,17.33,42.67,82.4,82.4,20,2.73,69,1608497821
Vaini,-21.2,-175.2,80.6,80.6,20,14.99,88,1608497822
Thompson,55.74,-97.86,-9.4,-9.4,90,4.7,69,1608497822
Socorro,31.65,-106.3,55.4,57.2,5,4.7,22,1608497822
Mersing,2.43,103.84,75.2,75.2,100,3.36,88,1608497822
Airai,-8.93,125.41,61.29,61.29,100,3.13,100,1608497822
Lebu,-37.62,-73.65,57.29,57.29,0,19.24,73,1608497822
Punta Arenas,-53.15,-70.92,51.01,51.8,75,23.04,76,1608497822
Sangar,63.92,127.47,-36.81,-36.81,100,1.21,82,1608497822
Butaritari,3.07,172.79,81.28,81.28,58,15.99,78,1608497822
Bosaso,11.28,49.18,76.19,76.19,57,6.71,75,1608497822
Toora-Khem,52.47,96.11,10.4,10.4,100,1.81,92,1608497822
Norman Wells,65.28,-126.83,-31.0,-31.0,75,5.82,66,1608497823
Aras,42.56,-2.36,44.6,46.99,0,2.24,81,1608497823
Phang Nga,8.45,98.53,73.4,75.2,20,8.05,83,1608497823
Provideniya,64.38,-173.3,1.4,1.4,0,13.42,70,1608497823
Garden City,42.33,-83.33,34.0,37.4,90,13.87,69,1608497547
Yellowknife,62.46,-114.35,-18.4,-16.01,75,8.05,75,1608497823
Hong Kong,22.29,114.16,44.01,57.99,100,1.99,59,1608497657
Leningradskiy,69.38,178.42,-2.79,-2.79,100,5.57,91,1608497823
Ostrovnoy,68.05,39.51,27.16,27.16,100,20.0,97,1608497823
Carnarvon,-24.87,113.63,77.0,77.0,0,19.46,65,1608497823
Qaanaaq,77.48,-69.36,-0.63,-0.63,80,6.02,73,1608497823
Mataura,-46.19,168.86,57.49,57.49,100,7.43,69,1608497823
Lompoc,34.64,-120.46,69.8,75.0,1,3.36,22,1608497823
Hobart,-42.88,147.33,51.8,55.99,20,5.82,81,1608497823
Bluff,-46.6,168.33,56.23,56.23,100,15.64,77,1608497823
Chicama,-7.84,-79.15,69.8,69.8,20,11.41,77,1608497823
Hilo,19.73,-155.09,68.0,73.4,90,4.7,94,1608497823
Tipuani,-15.56,-68.02,84.43,84.43,100,1.72,73,1608497823
Kudeyevskiy,54.88,56.76,-9.4,-9.0,0,6.71,83,1608497823
Kirkenes,69.73,30.05,26.6,28.4,75,24.16,92,1608497823
Westport,41.14,-73.36,30.99,34.0,90,3.36,94,1608497751
Havre-St-Pierre,50.23,-63.6,26.6,26.6,90,5.82,86,1608497824
New Norfolk,-42.78,147.06,51.01,55.99,0,1.01,66,1608497824
Sinnamary,5.38,-52.95,80.26,80.26,98,7.85,81,1608497824
Albufeira,37.09,-8.25,53.6,53.6,0,8.05,93,1608497591
Mogadishu,2.04,45.34,79.74,79.74,0,16.69,84,1608497824
Synya,65.37,58.04,-9.94,-9.94,9,2.68,90,1608497824
Avarua,-21.21,-159.78,80.6,80.6,100,4.7,61,1608497824
Severo-Kuril'sk,50.68,156.12,27.21,27.21,84,21.23,93,1608497824
Porto-Novo,6.5,2.6,84.2,84.2,40,11.41,83,1608497824
Saint George,37.1,-113.58,42.8,42.8,1,1.34,35,1608497716
Upernavik,72.79,-56.15,10.81,10.81,98,5.86,85,1608497824
Tautira,-17.73,-149.15,84.0,86.0,40,9.17,66,1608497824
Aden,12.78,45.04,78.71,78.71,72,17.56,78,1608497547
Shingū,33.73,135.98,35.6,35.6,3,6.96,85,1608497824
Kropotkin,45.44,40.58,30.85,30.85,100,10.13,97,1608497824
Ushuaia,-54.8,-68.3,50.0,50.0,75,26.4,81,1608497824
Geraldton,-28.77,114.6,60.8,60.8,0,6.93,77,1608497824
Chokurdakh,70.63,147.92,-17.36,-17.36,80,10.18,89,1608497825
Ţahţā,26.77,31.5,55.4,66.2,0,11.41,77,1608497825
Ahipara,-35.17,173.17,68.72,68.72,73,4.68,63,1608497825
East London,-33.02,27.91,72.77,72.77,0,1.83,87,1608497825
Bilma,18.69,12.92,62.65,62.65,1,3.27,29,1608497825
La Sarre,48.8,-79.2,32.59,32.59,99,11.23,96,1608497825
Sweetwater,25.76,-80.37,78.01,80.6,40,10.29,65,1608497825
Longyearbyen,78.22,15.64,6.8,6.8,0,32.21,60,1608497825
Cocobeach,1.0,9.58,82.4,82.4,40,10.29,83,1608497825
Xichang,27.9,102.26,34.41,34.41,1,2.17,85,1608497825
Polkowice,51.5,16.07,30.0,35.01,61,2.95,91,1608497825
Udachny,66.42,112.4,-34.6,-34.6,0,4.47,73,1608497825
Nuuk,64.18,-51.72,28.0,28.4,90,13.87,63,1608497825
Salinópolis,-0.61,-47.36,81.32,81.32,5,10.89,73,1608497825
College,64.86,-147.8,-7.01,-5.8,90,3.36,76,1608497762
Lorengau,-2.02,147.27,82.4,82.4,77,5.99,76,1608497825
Atuona,-9.8,-139.03,78.71,78.71,35,16.91,76,1608497825
Kjøllefjord,70.95,27.35,30.2,30.2,75,8.05,80,1608497825
Hūn,29.13,15.95,61.75,61.75,80,11.63,46,1608497825
Dikson,73.51,80.55,-26.86,-26.86,62,6.71,85,1608497826
Saint-Joseph,-21.37,55.62,73.99,75.2,20,1.12,78,1608497826
Barrow,71.29,-156.79,-18.4,-18.4,1,14.99,75,1608497826
Celestún,20.87,-90.4,78.39,78.39,14,8.7,74,1608497826
Mafra,-26.11,-49.81,66.99,66.99,100,7.0,84,1608497826
Sânmartin,46.27,25.93,30.99,30.99,82,1.99,85,1608497826
Mount Isa,-20.73,139.5,75.2,75.2,75,3.36,100,1608497826
Torbay,47.67,-52.73,24.8,25.0,20,8.05,85,1608497826
Shankargarh,25.18,81.62,52.61,52.61,22,5.01,42,1608497826
Saint-Philippe,-21.36,55.77,64.99,75.2,20,1.12,78,1608497826
Jamestown,42.1,-79.24,32.0,35.01,90,8.05,98,1608497826
Ludgeřovice,49.89,18.24,35.01,37.4,90,9.17,93,1608497826
Barcelos,41.54,-8.62,53.01,57.2,75,17.22,93,1608497557
Shambu,9.57,37.1,58.8,58.8,78,0.96,53,1608497826
Saint Anthony,45.02,-93.22,36.0,37.4,1,6.93,59,1608497826
Port Alfred,-33.59,26.89,72.0,72.0,44,1.01,94,1608497826
Oodweyne,9.41,45.06,71.01,71.01,19,10.63,50,1608497827
Turaif,31.67,38.66,50.0,50.0,0,14.99,87,1608497827
Esim,4.87,-2.24,79.83,79.83,46,6.17,80,1608497827
Baoning,25.34,110.03,33.8,33.8,0,4.47,86,1608497827
Saint Paul Harbor,57.79,-152.41,33.8,33.8,1,14.99,59,1608497678
Saskylakh,71.92,114.08,-38.04,-38.04,66,4.23,80,1608497827
Fredericton,45.95,-66.67,28.0,30.2,75,4.7,74,1608497580
Pevek,69.7,170.31,-6.56,-6.56,73,4.76,90,1608497827
Tuktoyaktuk,69.45,-133.04,-41.8,-41.8,20,3.36,72,1608497827
Emerald,-23.53,148.17,77.0,77.0,88,9.17,83,1608497745
